time niter trainloss trainerror testloss
0.041230 1000 12997.742188 0.905367 0.150867
0.048686 2000 10764.381836 0.904850 0.150733
0.056054 3000 8894.645508 0.903883 0.150200
0.063472 4000 7371.190430 0.902550 0.149967
0.070993 5000 6109.869141 0.900617 0.149783
0.078492 6000 5048.612305 0.897250 0.149417
0.086036 7000 4173.712891 0.892900 0.148817
0.093559 8000 3447.824463 0.888350 0.148250
0.100994 9000 2853.351318 0.882383 0.147200
0.108545 10000 2356.267334 0.876000 0.146233
0.116178 11000 1944.580444 0.868917 0.144933
0.123787 12000 1608.771240 0.861367 0.143733
0.131411 13000 1331.961914 0.852067 0.142083
0.139168 14000 1102.009155 0.840667 0.139783
0.146797 15000 912.173828 0.827350 0.137750
0.154425 16000 754.458740 0.811917 0.135167
0.162072 17000 623.758728 0.795717 0.132350
0.169593 18000 515.009949 0.777733 0.129317
0.177230 19000 425.471924 0.757300 0.125867
0.184870 20000 351.483398 0.733950 0.121733
0.192491 21000 290.698486 0.708733 0.117550
0.200117 22000 240.872101 0.681783 0.112917
0.207763 23000 199.650146 0.653333 0.108150
0.215479 24000 165.385696 0.622750 0.102950
0.223037 25000 137.647873 0.591333 0.098083
0.230704 26000 114.284935 0.558483 0.092117
0.238395 27000 94.910400 0.523250 0.086767
0.246020 28000 78.976700 0.489900 0.081117
0.253658 29000 65.734688 0.456983 0.075450
0.261267 30000 54.863926 0.426400 0.070333
0.269105 31000 45.934757 0.396783 0.065433
0.276779 32000 38.472641 0.369450 0.060800
0.284411 33000 32.245338 0.344300 0.056700
0.292119 34000 27.122885 0.325250 0.053150
0.299857 35000 22.915634 0.307917 0.050333
0.307478 36000 19.402212 0.293783 0.048150
0.315218 37000 16.549135 0.281933 0.045683
0.322953 38000 14.166295 0.269883 0.043517
0.330671 39000 12.172727 0.259733 0.042033
0.338377 40000 10.531899 0.253417 0.040750
0.346004 41000 9.172686 0.246700 0.039733
0.353626 42000 8.054432 0.241283 0.038800
0.361248 43000 7.133020 0.237717 0.038133
0.368873 44000 6.373479 0.233367 0.037350
0.376586 45000 5.750619 0.231483 0.036817
0.384284 46000 5.229809 0.229533 0.036533
0.391948 47000 4.800249 0.226017 0.035700
0.399613 48000 4.446653 0.225900 0.035733
0.407337 49000 4.150565 0.222117 0.035283
0.415073 50000 3.908850 0.220217 0.034800
0.422668 51000 3.710322 0.218833 0.034550
0.430422 52000 3.546020 0.215750 0.034100
0.438089 53000 3.409622 0.215550 0.034083
0.445794 54000 3.296782 0.212817 0.033433
0.453431 55000 3.203052 0.212800 0.033383
0.461259 56000 3.126679 0.212700 0.033533
0.468993 57000 3.062301 0.210767 0.033267
0.476678 58000 3.010054 0.210200 0.032933
0.484415 59000 2.968165 0.214300 0.033483
0.492074 60000 2.933870 0.213483 0.033367
0.499779 61000 2.904741 0.214967 0.033867
0.507542 62000 2.879986 0.213550 0.033583
0.515294 63000 2.859180 0.214567 0.033967
0.523063 64000 2.840767 0.211300 0.033167
0.530728 65000 2.827939 0.213283 0.033583
0.538409 66000 2.815978 0.212150 0.033600
0.546163 67000 2.806772 0.211050 0.033050
0.553830 68000 2.797651 0.212817 0.033533
0.561547 69000 2.792394 0.214967 0.033883
0.569253 70000 2.785916 0.213383 0.033583
0.576888 71000 2.780971 0.213350 0.033550
0.584619 72000 2.776991 0.212317 0.033400
0.592356 73000 2.775011 0.211633 0.033283
0.600029 74000 2.773006 0.211100 0.033117
0.607701 75000 2.770360 0.210900 0.033067
0.615373 76000 2.768847 0.211933 0.033217
0.623084 77000 2.767989 0.212800 0.033517
0.630785 78000 2.766719 0.212717 0.033400
0.638481 79000 2.766815 0.211150 0.033033
0.646187 80000 2.766726 0.213233 0.033233
0.653933 81000 2.766097 0.212100 0.033017
0.661728 82000 2.765660 0.211983 0.032967
0.669436 83000 2.764743 0.210733 0.032833
0.677184 84000 2.764369 0.210483 0.032867
0.684942 85000 2.764880 0.212400 0.033483
0.692619 86000 2.764265 0.210733 0.033017
0.700279 87000 2.764731 0.211717 0.033367
0.707978 88000 2.765120 0.211817 0.033450
0.715641 89000 2.764133 0.211333 0.033267
0.723373 90000 2.763879 0.212633 0.033417
0.731091 91000 2.764375 0.216083 0.033900
0.738853 92000 2.764372 0.214467 0.033550
0.746625 93000 2.764929 0.213333 0.033500
0.754354 94000 2.764202 0.214867 0.033767
0.761941 95000 2.763533 0.214850 0.033800
0.769694 96000 2.764250 0.216233 0.034017
0.777407 97000 2.764227 0.214817 0.033733
0.785292 98000 2.763214 0.214267 0.033617
0.793002 99000 2.763941 0.215767 0.033867
0.800756 100000 2.763685 0.215250 0.033633
