time niter trainloss trainerror testloss
0.030609 1000 12852.194336 0.905250 0.150783
0.055389 2000 10526.205078 0.904767 0.150683
0.079948 3000 8616.984375 0.903400 0.150133
0.104692 4000 7059.511719 0.901950 0.149850
0.129231 5000 5780.020996 0.899750 0.149550
0.153852 6000 4732.919922 0.895983 0.149283
0.178524 7000 3876.129639 0.891167 0.148550
0.203135 8000 3173.962891 0.885950 0.147833
0.227651 9000 2598.536865 0.879450 0.146633
0.252263 10000 2128.064941 0.872600 0.145617
0.276773 11000 1742.343872 0.864883 0.144333
0.301367 12000 1426.809204 0.855533 0.142683
0.325873 13000 1168.029419 0.845250 0.140567
0.350566 14000 956.777893 0.832067 0.138600
0.375135 15000 783.636963 0.816683 0.136000
0.399606 16000 641.731506 0.800600 0.133250
0.424275 17000 525.822021 0.781700 0.129933
0.448979 18000 430.837280 0.761317 0.126433
0.473782 19000 353.178131 0.736667 0.122267
0.498383 20000 289.511414 0.710733 0.117883
0.523036 21000 237.471237 0.682500 0.112983
0.547649 22000 194.848801 0.652283 0.107783
0.572206 23000 159.951752 0.618983 0.102483
0.596777 24000 131.398972 0.583717 0.096600
0.621296 25000 108.015938 0.548217 0.090433
0.645837 26000 88.906464 0.511817 0.084800
0.670414 27000 73.253136 0.475900 0.078717
0.694990 28000 60.444023 0.440167 0.072850
0.719580 29000 49.967869 0.408633 0.067517
0.744182 30000 41.401073 0.377067 0.061983
0.768811 31000 34.397312 0.351567 0.058233
0.793401 32000 28.653519 0.328850 0.054183
0.817935 33000 23.951252 0.309800 0.051267
0.842513 34000 20.106480 0.295450 0.048633
0.867185 35000 16.962877 0.281400 0.045750
0.891708 36000 14.384060 0.268717 0.043500
0.916293 37000 12.273700 0.261267 0.042083
0.940862 38000 10.546339 0.252517 0.040333
0.965284 39000 9.132633 0.247617 0.039400
0.989890 40000 7.976430 0.241850 0.038717
1.014484 41000 7.030994 0.236050 0.037633
1.038935 42000 6.255544 0.234717 0.037367
1.063442 43000 5.622013 0.229683 0.036583
1.087996 44000 5.102343 0.228200 0.036367
1.112545 45000 4.678147 0.228950 0.036267
1.137207 46000 4.330728 0.226150 0.036017
1.161759 47000 4.045415 0.222183 0.035450
1.186355 48000 3.812666 0.221533 0.035367
1.210912 49000 3.621602 0.220583 0.035183
1.235396 50000 3.465250 0.218483 0.034783
1.259883 51000 3.337905 0.218200 0.034617
1.284422 52000 3.233986 0.219400 0.034700
1.309140 53000 3.147361 0.218050 0.034367
1.333674 54000 3.077547 0.218283 0.034517
1.358190 55000 3.019269 0.216300 0.034083
1.382806 56000 2.973056 0.215433 0.033900
1.407379 57000 2.935381 0.216200 0.033833
1.431917 58000 2.903931 0.214500 0.033667
1.456475 59000 2.877531 0.215683 0.034050
1.481039 60000 2.856177 0.214767 0.033783
1.505596 61000 2.839567 0.215450 0.034050
1.530146 62000 2.825617 0.214767 0.033767
1.554747 63000 2.814314 0.214800 0.033967
1.579286 64000 2.805435 0.214267 0.033667
1.603866 65000 2.797969 0.213217 0.033550
1.628420 66000 2.790204 0.211733 0.033200
1.652928 67000 2.785475 0.213267 0.033450
1.677374 68000 2.781511 0.212967 0.033400
1.701948 69000 2.778542 0.212850 0.033350
1.726452 70000 2.775627 0.212450 0.033233
1.751084 71000 2.774076 0.213550 0.033433
1.775603 72000 2.771308 0.212883 0.033383
1.800171 73000 2.769964 0.212633 0.033250
1.824747 74000 2.768644 0.210583 0.033233
1.849380 75000 2.767089 0.210100 0.033117
1.873998 76000 2.766098 0.211117 0.033300
1.898511 77000 2.766341 0.211400 0.033233
1.922972 78000 2.765428 0.211583 0.033200
1.947495 79000 2.765298 0.212650 0.033300
1.972024 80000 2.765406 0.214150 0.033450
1.996661 81000 2.764979 0.212233 0.033250
2.021292 82000 2.764991 0.213000 0.033350
2.045852 83000 2.765017 0.214917 0.033717
2.070475 84000 2.764561 0.214150 0.033633
2.095039 85000 2.765047 0.211517 0.033283
2.119600 86000 2.764838 0.213017 0.033367
2.144143 87000 2.764321 0.212717 0.033300
2.168730 88000 2.764834 0.213000 0.033217
2.193369 89000 2.764134 0.211800 0.033283
2.217840 90000 2.764590 0.212967 0.033367
2.242344 91000 2.764867 0.215967 0.034050
2.266929 92000 2.764967 0.215533 0.033950
2.291556 93000 2.764408 0.212683 0.033483
2.316333 94000 2.764773 0.212133 0.033417
2.340950 95000 2.765254 0.212667 0.033483
2.365505 96000 2.765354 0.211017 0.032950
2.390041 97000 2.764242 0.210200 0.032867
2.414507 98000 2.763186 0.209867 0.032883
2.438967 99000 2.763344 0.211967 0.033083
2.463496 100000 2.763860 0.211250 0.033150
