time niter trainloss trainerror testloss
0.045895 1000 12852.487305 0.905350 0.150800
0.087052 2000 10519.130859 0.904750 0.150683
0.127764 3000 8609.224609 0.903050 0.150083
0.168369 4000 7045.922363 0.901783 0.149883
0.208993 5000 5766.367188 0.899217 0.149533
0.249619 6000 4719.118164 0.895700 0.149217
0.290231 7000 3861.979248 0.891217 0.148550
0.330860 8000 3160.481689 0.885817 0.147733
0.371468 9000 2586.374268 0.879367 0.146700
0.412068 10000 2116.568604 0.872700 0.145583
0.452730 11000 1732.121338 0.864450 0.144200
0.493369 12000 1417.531738 0.855600 0.142617
0.534004 13000 1160.135864 0.844433 0.140433
0.574614 14000 949.542419 0.831250 0.138400
0.615237 15000 777.256714 0.815700 0.135867
0.655854 16000 636.303284 0.799283 0.132867
0.696471 17000 520.990112 0.781033 0.129900
0.737090 18000 426.670166 0.760550 0.126350
0.777703 19000 349.516266 0.736333 0.122167
0.818321 20000 286.405243 0.709433 0.117817
0.858943 21000 234.777817 0.680433 0.112833
0.899562 22000 192.548660 0.649883 0.107350
0.940177 23000 158.006592 0.615717 0.101817
0.980797 24000 129.747055 0.580400 0.095967
1.021417 25000 106.636772 0.543083 0.089783
1.062034 26000 87.730904 0.507767 0.084150
1.102666 27000 72.267937 0.470950 0.077967
1.143304 28000 59.616795 0.435850 0.072100
1.183931 29000 49.268402 0.403433 0.066600
1.224554 30000 40.803970 0.373683 0.061817
1.265176 31000 33.880379 0.347333 0.057483
1.305781 32000 28.217592 0.325467 0.053450
1.346394 33000 23.585695 0.307683 0.050283
1.387014 34000 19.796280 0.291250 0.047567
1.427627 35000 16.695520 0.277783 0.044883
1.468265 36000 14.159756 0.266467 0.043017
1.508882 37000 12.085876 0.258383 0.041617
1.549512 38000 10.389103 0.248650 0.039417
1.590115 39000 9.001303 0.243100 0.038817
1.630737 40000 7.865603 0.237967 0.037867
1.671365 41000 6.937329 0.233567 0.037367
1.711981 42000 6.175975 0.230650 0.036867
1.752583 43000 5.554437 0.228100 0.036250
1.793281 44000 5.045286 0.224000 0.035683
1.833890 45000 4.629643 0.224350 0.035617
1.874506 46000 4.290146 0.221800 0.035083
1.915112 47000 4.011472 0.220750 0.035100
1.955733 48000 3.784564 0.218917 0.034817
1.996346 49000 3.597559 0.216467 0.034333
2.036932 50000 3.445727 0.217567 0.034600
2.077553 51000 3.321685 0.217617 0.034717
2.118155 52000 3.220810 0.218600 0.034683
2.158779 53000 3.138175 0.217250 0.034600
2.199408 54000 3.069763 0.216417 0.034333
2.240031 55000 3.014317 0.216667 0.034317
2.280650 56000 2.968096 0.214683 0.034017
2.321273 57000 2.930725 0.215883 0.034000
2.361911 58000 2.899973 0.213967 0.033717
2.402545 59000 2.875468 0.212000 0.033483
2.443166 60000 2.854615 0.211600 0.033450
2.483821 61000 2.837805 0.211317 0.033467
2.524451 62000 2.825826 0.216483 0.034100
2.565073 63000 2.813148 0.212733 0.033500
2.605697 64000 2.803478 0.213450 0.033667
2.646314 65000 2.796564 0.212817 0.033217
2.686931 66000 2.791413 0.214000 0.033550
2.727555 67000 2.786159 0.214500 0.033733
2.768162 68000 2.782088 0.213750 0.033667
2.808804 69000 2.778408 0.211500 0.033183
2.849437 70000 2.774879 0.210317 0.032850
2.890070 71000 2.772804 0.209917 0.032783
2.930709 72000 2.771729 0.211383 0.033217
2.971328 73000 2.770067 0.212533 0.033183
3.011950 74000 2.768401 0.212450 0.033183
3.052566 75000 2.767353 0.212800 0.033317
3.093189 76000 2.768296 0.215683 0.033817
3.133860 77000 2.768165 0.215883 0.033900
3.174491 78000 2.767542 0.215567 0.033783
3.215107 79000 2.766332 0.212933 0.033233
3.255734 80000 2.765360 0.211933 0.033250
3.296372 81000 2.765244 0.211450 0.033367
3.337003 82000 2.765027 0.211983 0.033167
3.377609 83000 2.764164 0.212983 0.033600
3.418226 84000 2.763860 0.214567 0.033450
3.458836 85000 2.764096 0.213750 0.033417
3.499458 86000 2.764520 0.213533 0.033400
3.540065 87000 2.763348 0.212233 0.033167
3.580689 88000 2.762874 0.210300 0.032800
3.621308 89000 2.763257 0.213367 0.033300
3.661922 90000 2.764404 0.215167 0.033583
3.702539 91000 2.763429 0.214950 0.033567
3.743157 92000 2.763297 0.213383 0.033500
3.783787 93000 2.763374 0.215417 0.033717
3.824399 94000 2.761821 0.213650 0.033533
3.865017 95000 2.763008 0.217733 0.034000
3.905679 96000 2.761914 0.215900 0.033617
3.946278 97000 2.761840 0.215867 0.033717
3.986892 98000 2.761977 0.214667 0.033800
4.027501 99000 2.761479 0.212683 0.033533
4.068109 100000 2.761168 0.212767 0.033550
