time niter trainloss trainerror testloss
0.030812 1000 12974.326172 0.905333 0.150850
0.040317 2000 10723.568359 0.905067 0.150783
0.049939 3000 8861.417969 0.904017 0.150233
0.059577 4000 7335.825684 0.902683 0.149967
0.069164 5000 6048.649414 0.900400 0.149683
0.078769 6000 4986.836914 0.896783 0.149350
0.088279 7000 4113.781250 0.893150 0.148750
0.098072 8000 3393.976562 0.888000 0.148217
0.107684 9000 2801.999268 0.881983 0.147117
0.117299 10000 2309.231934 0.875583 0.146150
0.126815 11000 1901.697632 0.868533 0.144767
0.136393 12000 1568.364746 0.860200 0.143433
0.146073 13000 1294.950317 0.850600 0.141833
0.155635 14000 1068.127319 0.839017 0.139600
0.165264 15000 880.514893 0.824933 0.137333
0.174881 16000 725.554016 0.809583 0.134517
0.184596 17000 599.666626 0.793267 0.131800
0.194364 18000 496.135101 0.774867 0.128817
0.204050 19000 409.693878 0.754833 0.125333
0.213632 20000 337.825409 0.730233 0.121050
0.223229 21000 278.761993 0.704517 0.116767
0.232867 22000 230.460556 0.676650 0.111967
0.242583 23000 190.504593 0.646783 0.107033
0.252181 24000 157.476624 0.614817 0.101950
0.261926 25000 130.586533 0.582200 0.096350
0.271780 26000 108.375862 0.548217 0.090750
0.281340 27000 89.819252 0.512550 0.085050
0.291047 28000 74.588799 0.477550 0.078950
0.300809 29000 62.072590 0.442050 0.073083
0.310681 30000 51.701332 0.411333 0.067917
0.320477 31000 43.219425 0.382733 0.063183
0.330122 32000 36.148338 0.356483 0.059167
0.339693 33000 30.262890 0.335650 0.055483
0.349353 34000 25.445328 0.318417 0.052250
0.359101 35000 21.479332 0.302100 0.049350
0.368726 36000 18.191563 0.287400 0.046617
0.378271 37000 15.476707 0.274817 0.044667
0.387759 38000 13.226343 0.263567 0.042600
0.397483 39000 11.400633 0.255033 0.041033
0.407135 40000 9.882653 0.249000 0.039767
0.417013 41000 8.638259 0.244850 0.039100
0.427133 42000 7.633008 0.239333 0.038233
0.436660 43000 6.770555 0.234450 0.037450
0.446227 44000 6.062193 0.231467 0.036833
0.455769 45000 5.478993 0.228617 0.036367
0.465229 46000 4.997428 0.226367 0.036050
0.474760 47000 4.603257 0.222433 0.035600
0.484516 48000 4.281163 0.222050 0.035400
0.494246 49000 4.013948 0.220967 0.035250
0.504114 50000 3.798014 0.220017 0.034950
0.513759 51000 3.614842 0.217217 0.034517
0.523507 52000 3.463638 0.217517 0.034533
0.533021 53000 3.339781 0.218667 0.034867
0.542785 54000 3.238198 0.218350 0.034850
0.552446 55000 3.153764 0.217133 0.034633
0.562109 56000 3.084922 0.217917 0.034500
0.571858 57000 3.029206 0.217533 0.034367
0.581600 58000 2.982499 0.216183 0.034150
0.591383 59000 2.943796 0.215367 0.033850
0.601139 60000 2.913276 0.216150 0.034133
0.610838 61000 2.886588 0.215583 0.034050
0.620653 62000 2.864680 0.213450 0.033483
0.630427 63000 2.846667 0.215117 0.033850
0.640360 64000 2.832186 0.217867 0.034367
0.650345 65000 2.820455 0.216400 0.034250
0.660074 66000 2.810091 0.216050 0.034150
0.669810 67000 2.802171 0.216417 0.033867
0.679775 68000 2.795768 0.215917 0.033983
0.689655 69000 2.790031 0.216617 0.034150
0.699286 70000 2.786336 0.218433 0.034433
0.709015 71000 2.783255 0.218017 0.034150
0.718816 72000 2.780197 0.218367 0.034450
0.728570 73000 2.778110 0.220433 0.034833
0.738335 74000 2.775385 0.217317 0.034283
0.748245 75000 2.773501 0.219117 0.034500
0.758105 76000 2.772105 0.218417 0.034400
0.767740 77000 2.770782 0.217200 0.034067
0.777587 78000 2.769794 0.216350 0.034100
0.787315 79000 2.769997 0.218617 0.034400
0.796965 80000 2.769228 0.218483 0.034333
0.806762 81000 2.767547 0.216917 0.034183
0.816392 82000 2.767022 0.214800 0.033900
0.826409 83000 2.765985 0.214783 0.033650
0.836452 84000 2.766050 0.213750 0.033650
0.846339 85000 2.765509 0.212717 0.033050
0.856066 86000 2.765276 0.212967 0.033150
0.865943 87000 2.764842 0.214067 0.033583
0.875605 88000 2.764934 0.215350 0.034033
0.885347 89000 2.765102 0.215900 0.033917
0.895246 90000 2.764129 0.214400 0.033783
0.905115 91000 2.763233 0.213867 0.033800
0.915101 92000 2.763304 0.212633 0.033500
0.924964 93000 2.764211 0.213100 0.033617
0.934811 94000 2.763603 0.212867 0.033617
0.944555 95000 2.763691 0.211650 0.033083
0.954470 96000 2.763317 0.210400 0.033133
0.964234 97000 2.762990 0.210933 0.033117
0.973941 98000 2.762820 0.212650 0.033367
0.983921 99000 2.762474 0.212400 0.033183
0.993842 100000 2.761575 0.212300 0.033183
